Genes,est_ep,q_ep,est_se,q_se
ORM1,0.14904663388411,0.686961001130454,0.0424961538461539,0.796703757523892
OXCT1,-0.318739162179067,0.0517870697399101,0.00510000000000055,0.98165592881809
P4HB,0.0217030050277605,0.873090864111021,-0.0379192307692308,0.760643429348325
PAM,0.289393473150968,0.226084585343282,0.00106153846153846,0.995621915443259
PARD3,0.0271386822565254,0.774387394058407,0.0265769230769231,0.961819496255815
PCBP2,-0.0982945708681576,0.591671366614166,0.118676923076923,0.707819985599655
PCDH1,0.403795890682028,0.0720849060498136,-0.0324999999999998,0.423634969800572
PCDH12,0.227014343046438,0.258399080368608,0.134807692307692,0.0627140340019395
PCSK9,0.271902639568838,0.138925162934854,-0.0334423076923078,0.864957774050093
PDE5A,-0.0719930242018388,0.59753738406127,-0.0208807692307689,0.946248364487087
PDGFRB,0.299831052922196,0.29285638733209,0.0491346153846157,0.38637566691165
PDIA3,0.30804524158557,0.0156284117097196,-0.124419230769231,0.190388712164597
PDIA4,0.0222535308344645,0.870400398726551,-0.0274692307692308,0.83833312795739
PDLIM5,-0.0717408197002171,0.555616961783027,0.00289999999999953,0.993158771500074
PDLIM7,-0.139960271631058,0.184777733672076,-0.223211538461538,0.02904955730948
PECAM1,-0.330768544089012,0.0453246333777184,0.0254653846153847,0.720244879228802
PEPD,0.22691685971559,0.321816293334875,-0.0654115384615385,0.511161108411435
PGD,0.148407876118387,0.276598316201246,0.121407692307692,0.428953516761971
PGLYRP2,0.393142343891638,0.101068253816082,-0.0657923076923076,0.428953516761971
PI16,0.113465100050679,0.512190745086057,-0.0344076923076924,0.771735583627476
PLA2G4A,-0.0445165907778195,0.76225981992015,-0.0128115384615384,0.925327510225198
PLCB2,-0.0611767536282687,0.683212516360457,0.164561538461539,0.196724052097682
PLG,0.0902779152900833,0.742145583657333,-0.0190346153846154,0.810138410672706
PLIN1,0.279386918680959,0.287534019482163,0.119003846153846,0.597935147074871
PLIN3,-0.00267371409479848,0.98782645142844,-0.129903846153846,0.128650519365427
PLTP,0.33826458172355,0.137480013058878,0.0355692307692308,0.727230130669694
PLXDC1,0.407248353930293,0.0342869571008979,-0.0108615384615383,0.960139796035554
PLXDC2,0.263211356515186,0.162911677452731,-0.278657692307692,0.0402921904393211
PLXNA4,-0.301164818321334,0.0408605071825396,-0.271619230769231,0.0021623529794115
PLXNB2,0.167384740891913,0.0840812638087479,-0.0592730769230769,0.252369427960838
PODXL,0.299969982556278,0.506489604857908,-0.0741692307692308,0.11904817047239
PON1,0.10980634227285,0.574469824242469,-0.0525,0.480883118604605
PON3,0.314062280440159,0.164110608581169,-0.0108538461538457,0.950173255863507
POSTN,0.333506406477184,0.188974803292354,-0.143546153846153,0.429889850293386
PPBP,-0.186987607505065,0.376344374131046,0.0201692307692305,0.844320646059678
